EventNumber,Type,Time,Resistance,BaselineCorrectedResistance
1,Peak,10.406033,3.94473104195804,0.0918200442890456
2,Trough,11.466245,3.84651991142191,-0.0139087692307704
3,Peak,12.266681,3.93967070862471,0.0712080163170161
4,Trough,13.198188,3.84501451981352,-0.025500876456876
5,Peak,13.996627,3.93815627738928,0.0600218601398597
6,Trough,14.806569,3.852910997669,-0.0315858344988351
7,Peak,15.738764,3.91507143123543,0.0244344265734266
8,Trough,16.401288,3.85305967832168,-0.0375773263403265
9,Peak,17.198709,3.94482301165501,0.0538583123543126
10,Trough,18.130173,3.84424978787879,-0.0463693310023312
11,Peak,18.927792,3.93267015384615,0.0411228951048943
12,Trough,19.726907,3.826190004662,-0.0627484801864808
13,Peak,20.658817,3.94307051048951,0.0524513916083911
14,Trough,21.323263,3.86341555477855,-0.0244821421911414
15,Peak,22.119135,3.91963602097902,0.0284501282051277
16,Trough,22.91718,3.85290382983683,-0.034993867132866
17,Peak,23.716597,3.92091593939394,0.0319774545454541
18,Trough,24.51501,3.86282608624709,-0.0235025617715601
19,Peak,25.31421,3.93020613752914,0.0415678671328674
20,Trough,26.113473,3.8542224009324,-0.0306333263403262
21,Peak,26.913028,3.90434598368298,0.0165140396270393
22,Trough,27.577414,3.86258496503496,-0.0222522400932403
23,Peak,28.373974,3.91612899300699,0.0297174079254083
24,Trough,29.16956,3.86707765268065,-0.0156537319347327
25,Peak,29.966601,3.90269254312354,0.016363895104897
26,Trough,30.763238,3.85810351282051,-0.0262334079254081
27,Peak,31.558678,3.90450968997669,0.0179508578088572
28,Trough,32.487974,3.83469803729604,-0.0506927902097911
29,Peak,33.285023,3.90029611888112,0.0129385594405598
30,Trough,33.948943,3.87027776456876,-0.0151130629370635
31,Peak,34.747913,3.89583063403263,0.00790991841491895
32,Trough,35.415711,3.87055663869464,-0.0160021934731938
33,Peak,36.215899,3.90795508158508,0.0200343659673661
34,Trough,37.016199,3.87051364102564,-0.0160451911421911
35,Peak,37.814797,3.93669832867133,0.0481314219114224
36,Trough,38.610604,3.87933916317016,-0.00835589743589704
37,Peak,39.406516,3.90433666433566,0.016641603729604
38,Trough,40.204618,3.87045101398601,-0.0149398135198133
39,Peak,41.134963,3.91770322144522,0.0323123939393937
40,Trough,41.931425,3.87380785780886,-0.0084851025641024
41,Peak,42.729807,3.89867353613054,0.0171399044289045
42,Trough,43.39343,3.87862450815851,-0.000714655011655907
43,Peak,44.319982,3.89699412587413,0.0195039930069933
44,Trough,61.750177,3.81743225407925,-0.0420466083916073
45,Peak,62.814774,3.97272841258741,0.113364934731935
46,Trough,64.149796,3.81708780885781,-0.0424933729603723
47,Peak,65.216182,3.96536512354312,0.103925272727273
48,Trough,66.548194,3.82320001631702,-0.0536057365967357
49,Peak,67.4783,3.92994169463869,0.0477947062937063
50,Trough,68.677039,3.82289837529137,-0.0592486130536143
51,Peak,69.609999,3.95835485081585,0.0813244172494176
52,Trough,70.673275,3.85469631701632,-0.0205769533799529
53,Peak,71.738264,3.90388848251748,0.034528214452215
54,Trough,84.657503,3.82271717016317,-0.0262474638694639
55,Peak,85.851586,3.97288036829837,0.123887477855478
56,Trough,87.449634,3.81505645920746,-0.0454191258741261
57,Peak,88.646514,3.97113551515151,0.103106608391608
58,Trough,90.110347,3.81783826107226,-0.0501906456876453
59,Peak,91.041248,3.96919676923077,0.101167862470863
60,Trough,92.50178,3.85906995804196,-0.00538870862470864
61,Peak,93.696577,3.91309107459207,0.0506635641025643
