Time,PeakToPeakFrequencyHz,SmoothedPeakToPeakFrequencyHz,PreviousPeakTime,CurrentPeakTime,PeakIntervalSeconds
12.266681,0.537447168943293,0.537447168943293,10.406033,12.266681,1.860648
13.996627,0.578052725345184,0.578052725345184,12.266681,13.996627,1.729946
15.738764,0.574007669890485,0.574007669890485,13.996627,15.738764,1.742137
17.198709,0.684957310035652,0.684957310035652,15.738764,17.198709,1.459945
18.927792,0.578341236366329,0.578341236366329,17.198709,18.927792,1.729083
20.658817,0.577692407677532,0.577692407677532,18.927792,20.658817,1.731025
22.119135,0.684782355623912,0.684782355623912,20.658817,22.119135,1.460318
23.716597,0.625992981366693,0.625992981366693,22.119135,23.716597,1.597462
25.31421,0.625933815010269,0.625933815010269,23.716597,25.31421,1.597613
26.913028,0.625462060096896,0.625462060096896,25.31421,26.913028,1.598818
28.373974,0.684487996134012,0.684487996134012,26.913028,28.373974,1.460946
29.966601,0.627893411326067,0.627893411326067,28.373974,29.966601,1.592627
31.558678,0.628110323809715,0.628110323809715,29.966601,31.558678,1.592077
33.285023,0.579258491205407,0.579258491205407,31.558678,33.285023,1.726345
34.747913,0.683578396188369,0.683578396188369,33.285023,34.747913,1.46288999999999
36.215899,0.681205406591069,0.681205406591069,34.747913,36.215899,1.467986
37.814797,0.625430765439697,0.625430765439697,36.215899,37.814797,1.598898
39.406516,0.628251594659608,0.628251594659608,37.814797,39.406516,1.591719
41.134963,0.578554043022437,0.578554043022437,39.406516,41.134963,1.728447
42.729807,0.627020573799067,0.627020573799067,41.134963,42.729807,1.594844
44.319982,0.628861603282657,0.628861603282657,42.729807,44.319982,1.590175
62.814774,0.0540692752857129,0.0540692752857129,44.319982,62.814774,18.494792
65.216182,0.416422365545546,0.416422365545546,62.814774,65.216182,2.401408
67.4783,0.44206358819478,0.44206358819478,65.216182,67.4783,2.262118
69.609999,0.469109381765437,0.469109381765437,67.4783,69.609999,2.131699
71.738264,0.469866299544465,0.469866299544465,69.609999,71.738264,2.128265
85.851586,0.070855040365408,0.070855040365408,71.738264,85.851586,14.113322
88.646514,0.357790969928385,0.357790969928385,85.851586,88.646514,2.794928
91.041248,0.417582913175326,0.417582913175326,88.646514,91.041248,2.394734
93.696577,0.376601166936375,0.376601166936375,91.041248,93.696577,2.65532900000001
